,bucket,ticker,sector,price,intrinsic,upside_pct
60,Industrials (USA),ALK,Industrials,48.970001220703125,130.41342948511098,166.31289817075987
61,Industrials (USA),ACA,Industrials,114.4749984741211,227.13525589099527,98.4147271618814
62,Industrials (USA),AGCO,Industrials,113.06999969482422,178.65618929251977,58.00494364085309
63,Industrials (USA),ADT,Industrials,8.119999885559082,11.008630665140739,35.5742711858766
64,Industrials (USA),AGX,Industrials,374.95001220703125,474.1738563904192,26.463219350050537
65,Real Estate (Canada),CIGI,Real Estate,140.0399932861328,62.90988031977318,-55.07720413036987
66,Real Estate (Canada),FSV,Real Estate,158.44000244140625,44.11650799715106,-72.15570101151312
67,Real Estate (USA),ARR,Real Estate,18.43000030517578,816.7853382870568,4331.824876626156
68,Real Estate (USA),AGNC,Real Estate,11.805000305175781,225.17607946170307,1807.4635632408829
69,Real Estate (USA),APLE,Real Estate,12.354999542236328,22.956702171670475,85.80900867856427
70,Real Estate (USA),ADC,Real Estate,71.98999786376953,56.110446114282944,-22.05799725058515
71,Real Estate (USA),ARE,Real Estate,58.369998931884766,29.72751496035592,-49.07055764204035
72,Technology (Canada),GIB,Technology,88.71499633789062,140.62475336325295,58.5129450128731
73,Technology (Canada),DSGX,Technology,81.60399627685547,60.205610116565346,-26.222228244426226
74,Technology (Canada),SHOP,Technology,136.19000244140625,65.66430823028404,-51.784780781882176
75,Technology (Canada),LSPD,Technology,11.329999923706055,4.974854999510235,-56.091305975199376
76,Technology (Canada),CLS,Technology,295.2300109863281,108.1695411094914,-63.36092636784794
77,Technology (USA),ALAB,Technology,171.60000610351562,546.9520490559433,218.73661398706545
78,Technology (USA),ADBE,Technology,301.2589111328125,435.0935548819231,44.42512364061108
79,Technology (USA),ACLS,Technology,93.27999877929688,99.472101445145,6.638189051115684
80,Technology (USA),ADI,Technology,308.04998779296875,302.51586369964605,-1.7965019680643568
81,Technology (USA),ADSK,Technology,268.17498779296875,229.20645550783235,-14.53100925102685
82,Utilities (Canada),TAC,Utilities,12.75,11.09932821927818,-12.946445338994671
83,Utilities (USA),AEE,Utilities,102.08000183105469,90.13027782297122,-11.706234123957593
84,Utilities (USA),AWR,Utilities,73.54000091552734,55.87184269329778,-24.025235249213985
85,Utilities (USA),AEP,Utilities,115.91000366210938,7.865905290030416,-93.21378220903141
